id,smoking
159256,0.5359163
159257,0.2451189
159258,0.31621182
159259,0.014460514
159260,0.5849289
159261,0.96892774
159262,0.49021786
159263,0.09635489
159264,0.10151959
159265,0.00565326
159266,0.5553563
159267,0.15433848
159268,0.0017519346
159269,0.07211686
159270,0.018528992
159271,0.64073133
159272,0.8966212
159273,0.751145
159274,0.065704875
159275,0.1611287
159276,0.57358414
159277,0.9295086
159278,0.52884877
159279,0.853812
159280,0.052029114
159281,0.88631445
159282,0.86894923
159283,0.49619365
159284,0.7297695
159285,0.0034293416
159286,0.6370368
159287,0.01857282
159288,0.10902673
159289,0.7301708
159290,0.43897557
159291,0.6345626
159292,0.026992608
159293,0.0297023
159294,0.058963694
159295,0.4814519
159296,0.76800424
159297,0.0043038134
159298,0.34034652
159299,0.0045115678
159300,0.0035488396
159301,0.019903434
159302,0.09329558
159303,0.16571032
159304,0.27104512
159305,0.7097008
159306,0.7717147
159307,0.15963961
159308,0.35019603
159309,0.053470828
159310,0.5324198
159311,0.7269139
159312,0.22618046
159313,0.45823133
159314,0.87141395
159315,0.5824345
159316,0.0038868058
159317,0.7042846
159318,0.1756026
159319,0.83687115
159320,0.6347927
159321,0.1753486
159322,0.76694036
159323,0.4525551
159324,0.7302706
159325,0.40513498
159326,0.69605047
159327,0.72224677
159328,0.47924957
159329,0.32059488
159330,0.011763666
159331,0.78301483
159332,0.0070419456
159333,0.0051691188
159334,0.3387044
159335,0.1591582
159336,0.5876001
159337,0.8229013
159338,0.5788896
159339,0.95634
159340,0.45381367
159341,0.82231945
159342,0.6919628
159343,0.2836727
159344,0.36454532
159345,0.0027985864
159346,0.62285566
159347,0.8181985
159348,0.77895945
159349,0.0073032966
159350,0.008275338
159351,0.4279425
159352,0.7018376
159353,0.29976225
159354,0.022205308
159355,0.93925387
159356,0.88531935
159357,0.80178666
159358,0.24327315
159359,0.51435953
159360,0.039514393
159361,0.79262567
159362,0.010375283
159363,0.65969354
159364,0.7424222
159365,0.8094398
159366,0.0019650178
159367,0.557696
159368,0.51674914
159369,0.76631826
159370,0.2624334
159371,0.45570818
159372,0.18350796
159373,0.8092263
159374,0.65299666
159375,0.96222466
159376,0.8547763
159377,0.002228114
159378,0.748695
159379,0.37592113
159380,0.043464545
159381,0.057873
159382,0.38260934
159383,0.015516419
159384,0.47678572
159385,0.10277962
159386,0.43110198
159387,0.9199973
159388,0.6366601
159389,0.0008917969
159390,0.6984928
159391,0.33175522
159392,0.81843287
159393,0.02356895
159394,0.074320175
159395,0.8910422
159396,0.91172713
159397,0.5926687
159398,0.8890286
159399,0.87628603
159400,0.61283696
159401,0.81803286
159402,0.015387888
159403,0.028964357
159404,0.8596527
159405,0.008267804
159406,0.037257914
159407,0.015377517
159408,0.0026462208
159409,0.83352596
159410,0.60675657
159411,0.7311631
159412,0.7302973
159413,0.9034942
159414,0.034775034
159415,0.50335807
159416,0.36820227
159417,0.42437223
159418,0.68998855
159419,0.016391458
159420,0.69053304
159421,0.5378521
159422,0.20908625
159423,0.0054698945
159424,0.011816388
159425,0.82887286
159426,0.020772675
159427,0.02642823
159428,0.0021079627
159429,0.1839248
159430,0.0033660685
159431,0.54713166
159432,0.014988304
159433,0.048046168
159434,0.32593092
159435,0.5406643
159436,0.6587014
159437,0.13642329
159438,0.7853753
159439,0.11839928
159440,0.0284023
159441,0.9082377
159442,0.13346435
159443,0.018397892
159444,0.017799571
159445,0.8027072
159446,0.8360011
159447,0.49713504
159448,0.7127862
159449,0.45963937
159450,0.006512829
159451,0.9013944
159452,0.5575853
159453,0.017168371
159454,0.48705164
159455,0.87856525
159456,0.0057338555
159457,0.4314885
159458,0.4678148
159459,0.5070733
159460,0.081864506
159461,0.72525495
159462,0.078406885
159463,0.014110535
159464,0.33744097
159465,0.34067753
159466,0.035504617
159467,0.8139363
159468,0.9114018
159469,0.8543406
159470,0.87708503
159471,0.7861502
159472,0.7512196
159473,0.10008797
159474,0.25629136
159475,0.46973646
159476,0.008756797
159477,0.06999591
159478,0.7476062
159479,0.08759837
159480,0.5345817
159481,0.17991097
159482,0.74089944
159483,0.011013727
159484,0.054707367
159485,0.51556796
159486,0.1105086
159487,0.092761606
159488,0.46462792
